iter	Logloss
0	0.5894674013
1	0.5050429118
2	0.4468755251
3	0.4023433404
4	0.3683822479
5	0.3412121634
6	0.3213168684
7	0.3054035644
8	0.2934496219
9	0.2837777977
10	0.274175494
11	0.2674942519
12	0.2629729592
13	0.2592287717
14	0.2549539907
15	0.2515671305
16	0.2495665429
17	0.2470880921
18	0.2447079524
19	0.242503484
20	0.241142085
21	0.2399798151
22	0.238470187
23	0.2377861202
24	0.2368411437
25	0.2356744781
26	0.2347206702
27	0.2338021168
28	0.2334396054
29	0.2328060229
30	0.231999498
31	0.2312955095
32	0.2311061138
33	0.2305960483
34	0.229856564
35	0.2290962605
36	0.22846285
37	0.2278199762
38	0.2270448209
39	0.2263096134
40	0.225344694
41	0.2247883668
42	0.2244175119
43	0.2235344412
44	0.2229697572
45	0.2225760942
46	0.2222259496
47	0.2221492572
48	0.2216385562
49	0.2209126075
50	0.22023646
51	0.2201364257
52	0.2196333316
53	0.2192422759
54	0.2189370633
55	0.2187834273
56	0.2182233844
57	0.2178241397
58	0.2174377663
59	0.2170886047
60	0.2165576087
61	0.2162414493
62	0.216156883
63	0.2158278088
64	0.2156721997
65	0.2154153313
66	0.2149804643
67	0.2144817603
68	0.2140157357
69	0.2133036616
70	0.2127091187
71	0.2123266864
72	0.2115404335
73	0.2109783938
74	0.2105915443
75	0.2100560339
76	0.2097934395
77	0.2093601327
78	0.2091099729
79	0.2085486946
80	0.2083298071
81	0.2076500265
82	0.2074371844
83	0.2069993971
84	0.2062197878
85	0.205328102
86	0.2048243911
87	0.2046018623
88	0.2040371099
89	0.2035046224
90	0.2028485161
91	0.2023150973
92	0.2015338079
93	0.2011094965
94	0.2006232988
95	0.2002756222
96	0.1997835372
97	0.1986632018
98	0.1985385857
99	0.1983052329
